Fichier;Numéro de ligne;Contenu de la ligne;Criticité;Problème rencontré
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;62;ui->label_cppCheckPath->setText(CPP_CHECK_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;63;ui->label_checkStylePath->setText(CHECK_STYLE_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;63;ui->label_checkStylePath->setText(CHECK_STYLE_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;63;ui->label_checkStylePath->setText(CHECK_STYLE_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;63;ui->label_checkStylePath->setText(CHECK_STYLE_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;63;ui->label_checkStylePath->setText(CHECK_STYLE_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;64;ui->pushButton_parcourirExcel->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;64;ui->pushButton_parcourirExcel->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;64;ui->pushButton_parcourirExcel->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;64;ui->pushButton_parcourirExcel->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;64;ui->pushButton_parcourirExcel->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;65;ui->pushButton_parcourirCPPCheck->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;65;ui->pushButton_parcourirCPPCheck->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;65;ui->pushButton_parcourirCPPCheck->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;65;ui->pushButton_parcourirCPPCheck->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;65;ui->pushButton_parcourirCPPCheck->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;66;ui->pushButton_parcourirCheckStyle->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;66;ui->pushButton_parcourirCheckStyle->setText(BROWSE_FOLDER);;Majeur;Le pointeur n'est pas entouré d'un block if !
